region,location_id,species_avg,micro_avg
,135164,,6.618049
,142558,,6.611
,141518,,6.596453
,143078,,6.58212
,137764,,6.548017
,140449,,6.5
,136604,,6.491765
,139363,,6.487523
,136636,,6.471148
,131722,,6.457159
,135136,,6.394891
,139929,,6.293373
,139927,,6.293365
,136588,,6.245223
,143075,,6.203604
,144197,,6.183973
,136602,,6.1749835
,143116,,6.160555
,135170,,6.136246
,142556,,6.091
,145317,,6.006095
,137793,,6.000392
,156085,,6.0
,108386,,6.0
,141026,,6.0
,157432,,6.0
,156765,,6.0
,136634,,5.996947
,140475,,5.99
,136641,,5.982011
,139335,,5.964499
,135200,,5.938225
,143179,,5.922603
,135021,,5.915841
,135171,,5.907654
,140983,,5.903267
,137752,,5.898689
,140422,,5.891707
,144266,,5.809413
,128837,,5.74337
,128819,,5.743354
,135180,,5.735766
,139337,,5.728249
,138357,,5.70248
,142601,,5.67537
,142615,,5.631634
,64562,,5.623906
,142582,,5.579401
,135187,,5.572512
,135131,,5.571537
,136633,,5.563262
,67980,,5.550000000000001
,143172,,5.533933
,144281,,5.533149
,144192,,5.524371
,139890,,5.481173
,119920,,5.476374
,135177,,5.345399
,135140,,5.340388
,137782,,5.330399
,143107,,5.317466
,136640,,5.291144
,135166,,5.263433
,138457,,5.260345
,135149,,5.222847
,135186,,5.194461
,119928,,5.179643
,142576,,5.167
,136614,,5.148795
,136606,,5.076931
,137759,,5.058694
,136683,,5.042277
,139292,,5.039
,136650,,5.031545
,136590,,5.022222
,183935,,5.0
,157427,,5.0
,157422,,5.0
,140497,,5.0
,137694,,4.954054
,137693,,4.954052
,137784,,4.934588
,135196,,4.833991
,135259,,4.812514
,136096,,4.795062
,137776,,4.783011
,143117,,4.773962
,58682,,4.740373
,140499,,4.704
,142592,,4.703
,139079,,4.697453
,141056,,4.690983
,141562,,4.671685
,136648,,4.667212
,140473,,4.666
,139359,,4.656397
,135148,,4.653116
,131005,,4.643193
,138497,,4.632787
,129447,,4.624389
,58672,,4.594996
,139852,,4.551
,142105,,4.545
,137768,,4.535362
,137762,,4.532856
,145303,,4.527676
,139287,,4.504
,136652,,4.486027
,137791,,4.480892
,140476,,4.433469
,138381,,4.42415
,138475,,4.421236
,135272,,4.401403
,138378,,4.384549
,129546,,4.383277
,129537,,4.383276
,143673,,4.339353
,142606,,4.317563
,145311,,4.302687
,136601,,4.295994
,137779,,4.286916
,140438,,4.256088
,140436,,4.256084
,136637,,4.227363
,138346,,4.2
,143126,,4.196483
,140972,,4.193644
,142578,,4.169
,142555,,4.155
,136098,,4.136879
,140493,,4.123
,139338,,4.108552
,67982,,4.1
,137757,,4.099853
,137787,,4.092073
,143130,,4.08012
,140484,,4.079
,137723,,4.054387
,136592,,4.018993
,157749,,4.0
,157747,,4.0
,143169,,3.992
,145361,,3.978
,135260,,3.964444
,137777,,3.964016
,131704,,3.960667
,135173,,3.956987
,136104,,3.951364
,136646,,3.940242
,128751,,3.938291
,128712,,3.938291
,139228,,3.92704
,128773,,3.922442
,128812,,3.922436
,130867,,3.907992
,137840,,3.907
,137801,,3.903438
,135276,,3.894233
,131186,,3.891236
,135266,,3.881957
,137233,,3.861539
,141062,,3.860091
,136608,,3.839036
,144232,,3.777774
,139366,,3.772227
,131070,,3.771039
,139328,,3.765498
,137142,,3.755847
,138377,,3.702866
,139924,,3.692509
,139926,,3.692508
,135265,,3.658557
,126090,,3.656354
,140514,,3.616785
,140415,,3.615134
,137794,,3.614841
,138326,,3.613
,137805,,3.602
,136649,,3.591232
,134141,,3.584262
,138342,,3.58
,141532,,3.570596
,58081,,3.5583105
,135015,,3.551559
,137861,,3.550067
,132429,,3.546383
,143115,,3.531028
,143662,,3.530292
,138446,,3.504488
,146406,,3.5
,131764,,3.494777
,130894,,3.481081
,132428,,3.472031
,139336,,3.461667
,135147,,3.457382
,135152,,3.444226
,139869,,3.41776
,139877,,3.417758
,131234,,3.3992
,136615,,3.394001
,144787,,3.392126
,137803,,3.387223
,142588,,3.381
,137821,,3.381
,142550,,3.379847
,135172,,3.357755
,141019,,3.344
,146402,,3.343264
,140501,,3.341
,136607,,3.315935
,53540,,3.29272
,54226,,3.28917
,141057,,3.268969
,139293,,3.261
,132385,,3.223693
,90636,,3.22
,59267,,3.218619
,143181,,3.215274
,145332,,3.210041
,136594,,3.19434
,139875,,3.187498
,139876,,3.187497
,135160,,3.184928
,143134,,3.183474
,135163,,3.170803
,133806,,3.160259
,128208,,3.136709
,143657,,3.118782
,136681,,3.090374
,143649,,3.084044
,144199,,3.081825
,136639,,3.077937
,137135,,3.047
,138441,,3.039
,148248,,3.0
,152393,,3.0
,139374,,2.999244
,135190,,2.99756
,139322,,2.968761
,138376,,2.958448
,62748,,2.954988
,144248,,2.952631
,142549,,2.938051
,142554,,2.928
,140504,,2.918
,142103,,2.911
,129421,,2.893381
,129511,,2.881837
,129481,,2.881826
,128817,,2.879188
,139354,,2.842617
,135257,,2.842615
,146969,,2.834407
,134114,,2.831999
,134019,,2.8162
,137728,,2.800453
,143136,,2.791323
,132723,,2.787855
,136605,,2.78158
,139390,,2.76533
,139376,,2.741188
,141554,,2.738058
,143659,,2.736727
,143129,,2.734936
,142595,,2.724
,144843,,2.695271
,142612,,2.689615
,140416,,2.645503
,139378,,2.63242
,139334,,2.617408
,137823,,2.611
,143135,,2.598221
,129466,,2.595526
,140429,,2.59128
,146989,,2.587281
,141535,,2.58064
,158395,,2.58
,148727,,2.578952
,61018,,2.5413865
,158384,,2.52
,132436,,2.512745
,137828,,2.512
,185682,,2.5
,95918,,2.5
,126732,,2.5
,74877,,2.5
,137804,,2.497
,139380,,2.491377
,148744,,2.479603
,136118,,2.471
,143712,,2.466297
,131746,,2.464707
,132437,,2.413153
,143195,,2.413135
,137817,,2.405
,142096,,2.391059
,129362,,2.389612
,135250,,2.387089
,134490,,2.381986
,129461,,2.373976
,135274,,2.372212
,136094,,2.364218
,144247,,2.363342
,56858,,2.356803
,131871,,2.3463942857142857
,140477,,2.338
,143109,,2.32306
,137820,,2.317
,137810,,2.311
,139327,,2.307641
,141539,,2.290006
,137869,,2.287107
,144246,,2.280913
,141563,,2.279497
,131757,,2.274526
,58076,,2.270358
,74296,,2.260793
,142579,,2.255
,140479,,2.24
,136616,,2.23836
,144209,,2.238093
,135273,,2.236627
,143695,,2.220469
,136664,,2.215
,132367,,2.213893
,143663,,2.210857
,139392,,2.210127
,126616,,2.2094495238095324
,135234,,2.206101
,56853,,2.197704
,137789,,2.191318
,138379,,2.189049
,129440,,2.183253
,136002,,2.182661
,139199,,2.178
,139225,,2.175247
,129472,,2.168122
,142593,,2.164778
,56856,,2.163984
,55581,,2.146255
,149471,,2.139785
,158399,,2.1350000000000002
,138386,,2.131878
,147670,,2.123299809523809
,143127,,2.116106
,140491,,2.1
,134402,,2.097955
,129889,,2.094789
,131868,,2.093125
,143085,,2.081533
,143111,,2.080938
,137774,,2.068737
,135898,,2.063226
,139351,,2.053062
,131244,,2.047425
,131777,,2.0441
,128879,,2.032809
,135277,,2.029278
,131745,,2.02287
,137802,,2.015
,131029,,2.011274
,68542,,2.0
,79535,,2.0
,84319,,2.0
,136048,,2.0
,45915,,2.0
,85501,,2.0
,92954,,2.0
,184542,,2.0
,182130,,2.0
,144293,,1.996085
,141558,,1.993602
,142619,,1.992232
,130914,,1.977825
,142577,,1.967
,143145,,1.96634
,136618,,1.964699
,58077,,1.960071
,140502,,1.953
,135300,,1.945896
,140488,,1.939
,139329,,1.931257
,142551,,1.93
,158386,,1.92
,70774,,1.901534
,142562,,1.901459
,142594,,1.894
,119923,,1.885194
,140480,,1.883
,132460,,1.877802
,135215,,1.877369
,137882,,1.857298
,132454,,1.848387
,139398,,1.833202
,144194,,1.82422
